Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Bartosz Nowak,pl POL,"FW,MF",31.0,33.3,9,80,38,47.5,2.4,1.14,0.11,0.24,0,0,Matches
Arkadiusz Jędrych,pl POL,DF,33.0,33.0,6,31,14,45.2,0.94,0.42,0.16,0.36,1,1,Matches
Marcin Wasielewski,pl POL,MF,30.0,32.6,2,31,6,19.4,0.95,0.18,0.06,0.33,0,0,Matches
Alan Czerwiński,pl POL,DF,32.0,25.5,0,3,0,0.0,0.12,0.0,0.0,,0,0,Matches
Mateusz Kowalczyk,pl POL,MF,21.0,24.3,1,34,12,35.3,1.4,0.49,0.03,0.08,0,0,Matches
Borja Galán,es ESP,MF,32.0,25.2,3,41,15,36.6,1.63,0.59,0.07,0.2,0,0,Matches
Lukas Klemenz,pl POL,DF,29.0,24.9,6,15,7,46.7,0.6,0.28,0.4,0.86,0,0,Matches
Rafał Strączek,pl POL,GK,26.0,22.0,0,0,0,,0.0,0.0,,,0,0,Matches
Sebastian Milewski,pl POL,MF,27.0,19.8,1,17,2,11.8,0.86,0.1,0.06,0.5,0,0,Matches
Adam Zreľák,sk SVK,FW,31.0,14.3,3,24,7,29.2,1.67,0.49,0.13,0.43,0,0,Matches
Ilya Shkurin,by BLR,FW,25.0,14.0,5,37,19,51.4,2.63,1.35,0.14,0.26,0,0,Matches
Eman Marković,no NOR,"FW,MF",25.0,12.5,8,26,13,50.0,2.08,1.04,0.31,0.62,0,0,Matches
Dawid Kudła,pl POL,GK,33.0,12.0,0,0,0,,0.0,0.0,,,0,0,Matches
Erik Jirka,sk SVK,MF,27.0,9.3,1,7,5,71.4,0.75,0.54,0.14,0.2,0,0,Matches
Mateusz Wdowiak,pl POL,"FW,MF",28.0,8.9,2,17,5,29.4,1.91,0.56,0.12,0.4,0,0,Matches
Märten Kuusk,ee EST,DF,29.0,9.5,0,5,0,0.0,0.53,0.0,0.0,,0,0,Matches
Jesse Bosch,nl NED,MF,25.0,7.2,0,5,2,40.0,0.69,0.28,0.0,0.0,0,0,Matches
Kacper Lukasiak,pl POL,MF,21.0,7.3,0,4,2,50.0,0.55,0.27,0.0,0.0,0,0,Matches
Adrian Błąd,pl POL,FW,34.0,6.7,0,8,2,25.0,1.19,0.3,0.0,0.0,0,0,Matches
Marcel Wędrychowski,pl POL,FW,23.0,8.4,2,20,9,45.0,2.39,1.07,0.1,0.22,0,0,Matches
Damian Rasak,pl POL,MF,29.0,7.2,0,11,2,18.2,1.53,0.28,0.0,0.0,0,0,Matches
Marius Olsen,no NOR,DF,24.0,3.8,0,2,0,0.0,0.52,0.0,0.0,,0,0,Matches
Maciej Rosołek,pl POL,FW,23.0,3.7,0,9,4,44.4,2.43,1.08,0.0,0.0,0,0,Matches
Grzegorz Rogala,pl POL,DF,29.0,3.2,0,3,0,0.0,0.94,0.0,0.0,,0,0,Matches
Konrad Gruszkowski,pl POL,MF,24.0,1.7,0,3,0,0.0,1.73,0.0,0.0,,0,0,Matches
Aleksander Paluszek,pl POL,DF,24.0,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Aleksander Buksa,pl POL,FW,22.0,1.3,0,3,0,0.0,2.39,0.0,0.0,,0,0,Matches
Jakub Kokosiński,pl POL,FW,18.0,0.7,0,1,0,0.0,1.5,0.0,0.0,,0,0,Matches
Jakub Łukowski,pl POL,MF,29.0,0.5,0,0,0,,0.0,0.0,,,0,0,Matches
Filip Rejczyk,pl POL,MF,19.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Alan Brod,pl POL,MF,20.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,29.2,34.0,49,437,164,37.5,12.85,4.82,0.11,0.29,1,1,
Opponent Total,,,26.6,34.0,40,532,141,26.5,15.65,4.15,0.07,0.26,3,3,
