Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Lech Poznań,17,7,7,3,39,29,10,28,1.65,17,9,5,3,23,16,7,32,1.88
2,Górnik Zabrze,17,11,1,5,34,17,17,34,2.0,17,5,7,5,16,21,-5,22,1.29
3,Jagiellonia,17,9,3,5,34,24,10,30,1.76,17,6,8,3,22,17,5,26,1.53
4,Raków,17,8,4,5,23,15,8,28,1.65,17,8,3,6,28,25,3,27,1.59
5,Katowice,17,10,3,4,31,20,11,33,1.94,17,4,5,8,20,25,-5,17,1.0
6,Legia Warsaw,17,8,6,3,23,12,11,30,1.76,17,4,7,6,19,25,-6,19,1.12
7,Zagłębie Lubin,17,7,6,4,26,15,11,27,1.59,17,6,3,8,19,23,-4,21,1.24
8,Wisła Płock,17,8,3,6,16,16,0,27,1.59,17,4,7,6,18,22,-4,19,1.12
9,Pogoń Szczecin,17,9,3,5,31,22,9,30,1.76,17,4,3,10,16,27,-11,15,0.88
10,Radomiak Radom,17,9,4,4,33,18,15,31,1.82,17,2,7,8,19,35,-16,13,0.76
11,Korona Kielce,17,7,5,5,23,17,6,26,1.53,17,4,5,8,17,23,-6,17,1.0
12,Motor Lublin,17,5,9,3,23,20,3,24,1.41,17,5,4,8,23,33,-10,19,1.12
13,Cracovia,17,5,9,3,21,17,4,24,1.41,17,4,6,7,18,25,-7,18,1.06
14,Widzew Łódź,17,9,4,4,24,16,8,31,1.82,17,3,2,12,17,25,-8,11,0.65
15,Piast Gliwice,17,6,4,7,20,20,0,22,1.29,17,5,4,8,22,26,-4,19,1.12
16,Lechia Gdańsk,17,8,4,5,36,25,11,28,1.65,17,4,3,10,26,40,-14,15,0.88
17,Arka Gdynia,17,8,6,3,24,21,3,30,1.76,17,1,3,13,10,40,-30,6,0.35
18,Nieciecza,17,4,4,9,21,31,-10,16,0.94,17,5,3,9,22,34,-12,18,1.06
