Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Bartosz Mrozek,pl POL,GK,25,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Antoni Kozubal,pl POL,MF,20,32,30,2532,28.1,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,Matches
Mikael Ishak,se SWE,FW,32,31,29,2419,26.9,16,5,21,11,5,6,4,0,0.60,0.19,0.78,0.41,0.60,Matches
Michał Gurgul,pl POL,DF,19,31,27,2448,27.2,1,4,5,1,0,0,1,0,0.04,0.15,0.18,0.04,0.18,Matches
Joel Pereira,pt POR,DF,28,31,26,2347,26.1,2,5,7,2,0,0,2,0,0.08,0.19,0.27,0.08,0.27,Matches
Leo Bengtsson,se SWE,MF,27,33,26,2064,22.9,6,3,9,6,0,0,3,0,0.26,0.13,0.39,0.26,0.39,Matches
Antonio Milić,hr CRO,DF,31,24,24,1989,22.1,2,1,3,2,0,0,5,0,0.09,0.05,0.14,0.09,0.14,Matches
Pablo Rodríguez,es ESP,"MF,FW",23,27,21,1637,18.2,3,1,4,3,0,0,5,1,0.16,0.05,0.22,0.16,0.22,Matches
Wojciech Mońka,pl POL,DF,18,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Luis Enrique Palma,hn HON,"MF,FW",25,31,18,1653,18.4,10,6,16,10,0,0,3,1,0.54,0.33,0.87,0.54,0.87,Matches
Mateusz Skrzypczak,pl POL,DF,24,21,17,1704,18.9,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
Filip Jagiełło,pl POL,"MF,FW",27,27,17,1658,18.4,1,4,5,1,0,0,2,0,0.05,0.22,0.27,0.05,0.27,Matches
Ali Gholizadeh,ir IRN,MF,29,19,13,1131,12.6,6,4,10,6,0,0,3,0,0.48,0.32,0.80,0.48,0.80,Matches
Timothy Ouma,ke KEN,MF,21,21,12,1104,12.3,0,1,1,0,0,0,5,1,0.00,0.08,0.08,0.00,0.08,Matches
Robert Gumny,pl POL,DF,27,21,11,1059,11.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrik Wålemark,se SWE,"FW,MF",23,17,11,907,10.1,2,1,3,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30,Matches
Taofeek Ismaheel,ng NGA,MF,25,21,9,774,8.6,1,1,2,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23,Matches
João Moutinho,pt POR,DF,27,12,7,600,6.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Douglas,se SWE,DF,23,7,6,500,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gísli Þórðarson,is ISL,MF,20,13,5,513,5.7,2,2,4,2,0,0,1,0,0.35,0.35,0.70,0.35,0.70,Matches
Yannick Agnero,ci CIV,FW,22,27,4,603,6.7,3,0,3,3,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches
Kornel Lisman,pl POL,MF,19,13,4,374,4.2,0,1,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches
Bryan Fiabema,no NOR,"MF,FW",22,10,2,272,3.0,2,0,2,2,0,0,1,0,0.66,0.00,0.66,0.66,0.66,Matches
Filip Szymczak,pl POL,MF,23,4,2,157,1.7,1,0,1,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,Matches
Plamen Andreev,bg BUL,GK,20,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Håkans,fi FIN,MF,24,9,0,240,2.7,1,0,1,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches
Radosław Murawski,pl POL,MF,31,3,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kamil Jakóbczyk,pl POL,FW,17,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sammy Dudek,pl POL,MF,17,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hubert Janyszka,pl POL,MF,16,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Elias Andersson,se SWE,"DF,MF",29,0,0,,,,,,,,,,,,,,,,Matches
Krzysztof Bąkowski,pl POL,GK,22,0,0,,,,,,,,,,,,,,,,Matches
Bartłomiej Barański,pl POL,FW,18,0,0,,,,,,,,,,,,,,,,Matches
Tymoteusz Gmur,pl POL,MF,17,0,0,,,,,,,,,,,,,,,,Matches
Mateusz Pruchniewski,pl POL,GK,18,0,0,,,,,,,,,,,,,,,,Matches
Bartosz Salamon,pl POL,"DF,MF",34,0,0,,,,,,,,,,,,,,,,Matches
Wojciech Szymczak,pl POL,FW,17,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.3,34,374,3060,34.0,61,40,101,56,5,6,60,3,1.79,1.18,2.97,1.65,2.82,
Opponent Total,,,26.9,34,374,3060,34.0,43,29,72,40,3,5,61,2,1.26,0.85,2.12,1.18,2.03,
