Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Bartosz Wolski,pl POL,MF,28.0,31.7,2,0,0,28,41,1,248,9,17,,,0,Matches
Karol Czubak,pl POL,FW,25.0,28.2,3,1,1,42,21,18,3,3,9,,,0,Matches
Filip Luberecki,pl POL,DF,20.0,29.1,5,0,0,48,16,1,56,28,63,,,0,Matches
Ivo Rodrigues,pt POR,MF,30.0,27.1,8,0,0,39,98,3,63,21,22,,,0,Matches
Ivan Brkić,hr CRO,GK,30.0,26.2,3,0,0,0,8,0,1,0,1,,,0,Matches
Paweł Stolarski,pl POL,DF,29.0,21.1,4,0,0,26,27,0,29,19,32,,,0,Matches
Hervé Matthys,be BEL,DF,29.0,23.9,2,0,0,19,8,1,19,29,22,,,0,Matches
Marek Bartoš,sk SVK,DF,28.0,23.0,5,0,0,25,9,1,2,15,18,,,0,Matches
Sergi Samper,es ESP,MF,30.0,19.9,5,0,0,23,6,0,17,27,24,,,0,Matches
Mbaye Jacques Ndiaye,sn SEN,"MF,FW",21.0,18.1,7,0,0,34,13,10,19,5,13,,,0,Matches
Fábio Conceição,pt POR,"MF,FW",24.0,17.1,2,0,0,17,40,2,30,9,16,,,0,Matches
Michał Król,pl POL,"MF,FW",25.0,16.6,0,0,0,15,26,10,65,12,13,,,0,Matches
Jakub Łabojko,pl POL,MF,27.0,14.1,7,1,1,21,8,0,11,17,17,,,0,Matches
Arkadiusz Najemski,pl POL,DF,29.0,13.4,4,0,0,21,4,0,0,8,16,,,1,Matches
Bradly van Hoeven,nl NED,"MF,FW",25.0,12.9,1,0,0,14,26,8,32,10,19,,,0,Matches
Filip Wójcik,pl POL,DF,28.0,11.7,2,0,0,18,19,1,38,11,18,,,0,Matches
Gašper Tratnik,si SVN,GK,25.0,7.8,0,0,0,0,2,0,0,0,0,,,0,Matches
Bright Ede,pl POL,DF,18.0,6.7,7,0,0,20,5,1,0,6,5,,,0,Matches
Mathieu Scalet,fr FRA,MF,28.0,6.8,2,0,0,14,8,1,9,4,6,,,0,Matches
Krystian Palacz,pl POL,DF,22.0,3.5,1,0,0,1,2,0,10,3,3,,,0,Matches
Renat Dadaşov,az AZE,FW,26.0,5.2,4,0,0,18,17,7,4,1,1,,,0,Matches
Paskal Meyer,de GER,DF,20.0,2.4,1,0,0,7,3,1,2,4,1,,,0,Matches
Kacper Karasek,pl POL,MF,23.0,2.5,1,1,0,4,5,0,11,1,2,,,0,Matches
Thomas Santos,dk DEN,DF,26.0,2.5,0,0,0,3,1,0,5,3,5,,,0,Matches
Christopher Simon,sn SEN,FW,25.0,0.5,0,0,0,0,0,0,1,0,0,,,0,Matches
Florian Haxha,xk KVX,MF,23.0,1.1,0,0,0,2,0,0,3,0,0,,,0,Matches
Franciszek Lewandowsk,pl POL,MF,17.0,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
Squad Total,,,26.9,34.0,76,3,2,459,413,66,678,245,344,,,1,
Opponent Total,,,26.7,34.0,83,2,1,427,446,49,734,295,335,,,2,
