Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Juljan Shehu,al ALB,MF,26,32,2660,83,86.9,29.6,31,83,18,1,77,0,1.31,39,27,+12,+0.41,+3.11,Matches
Fran Álvarez,es ESP,"MF,FW",27,31,2381,77,77.8,26.5,28,83,14,3,18,3,1.16,35,33,+2,+0.08,+0.34,Matches
Sebastian Bergier,pl POL,FW,25,30,2278,76,74.4,25.3,28,79,12,2,29,1,1.23,31,30,+1,+0.04,+0.15,Matches
Mariusz Fornalczyk,pl POL,"MF,FW",22,31,2105,68,68.8,23.4,24,80,4,7,27,1,1.23,28,25,+3,+0.13,+0.41,Matches
Mateusz Żyro,pl POL,DF,26,25,1858,74,60.7,20.6,21,88,20,4,3,9,1.28,24,27,-3,-0.15,-0.37,Matches
Ricardo Visus,es ESP,DF,24,19,1709,90,55.8,19.0,19,90,18,0,,13,1.11,27,30,-3,-0.16,-0.36,Matches
Marcel Krajewski,pl POL,"DF,MF",20,26,1716,66,56.1,19.1,18,86,13,8,20,4,1.35,23,26,-3,-0.16,-0.36,Matches
Samuel Kozlovský,sk SVK,DF,25,21,1398,67,45.7,15.5,15,85,11,6,21,8,1.29,20,15,+5,+0.32,+0.59,Matches
Przemysław Wiśniewski,pl POL,DF,27,16,1351,84,44.2,15.0,15,90,15,1,1,0,1.38,14,10,+4,+0.27,+0.48,Matches
Bartłomiej Drągowski,pl POL,GK,27,15,1350,90,44.1,15.0,15,90,15,0,,0,1.27,13,12,+1,+0.07,+0.12,Matches
Stelios Andreou,cy CYP,DF,23,18,1313,73,42.9,14.6,15,85,11,3,11,10,1.11,17,20,-3,-0.21,-0.36,Matches
Lindon Selahi,al ALB,MF,26,24,1275,53,41.7,14.2,14,79,4,10,17,6,1.38,13,14,-1,-0.07,-0.12,Matches
Emil Kornvig,dk DEN,"FW,MF",25,15,1244,83,40.7,13.8,14,86,11,1,35,0,1.27,13,10,+3,+0.22,+0.37,Matches
Baena,es ESP,"MF,FW",24,29,1351,47,44.2,15.0,13,77,2,16,22,1,1.34,22,22,0,0.00,0.00,Matches
Samuel Akere,ng NGA,"MF,FW",21,15,778,52,25.4,8.6,11,65,0,4,15,3,1.13,17,13,+4,+0.46,+0.62,Matches
Szymon Czyż,pl POL,MF,24,18,1001,56,32.7,11.1,10,77,1,8,29,1,1.11,17,19,-2,-0.18,-0.27,Matches
Steve Kapuadi,cd COD,DF,27,11,917,83,30.0,10.2,10,90,10,1,17,0,1.55,11,7,+4,+0.39,+0.56,Matches
Maciej Kikolski,pl POL,GK,21,9,810,90,26.5,9.0,9,90,9,0,,25,1.11,12,13,-1,-0.11,-0.15,Matches
Lukas Lerager,dk DEN,MF,32,10,782,78,25.6,8.7,9,84,7,1,23,1,1.20,7,8,-1,-0.12,-0.15,Matches
Veljko Ilic,rs SRB,GK,22,8,720,90,23.5,8.0,8,90,8,0,,18,1.25,13,13,0,0.00,0.00,Matches
Christopher Cheng,no NOR,"DF,MF",23,9,643,71,21.0,7.1,8,80,5,1,2,0,1.33,5,6,-1,-0.14,-0.18,Matches
Dion Gallapeni,xk KVX,DF,20,10,652,65,21.3,7.2,7,80,3,3,32,8,0.50,8,12,-4,-0.55,-0.70,Matches
Carlos Isaac,es ESP,DF,27,11,610,55,19.9,6.8,7,79,1,4,14,2,1.27,7,4,+3,+0.44,+0.55,Matches
Andi Zeqiri,ch SUI,FW,26,24,762,32,24.9,8.5,6,72,1,18,18,2,1.29,9,9,0,0.00,0.00,Matches
Osman Bukari,gh GHA,MF,26,8,484,61,15.8,5.4,5,90,4,3,12,5,0.50,3,7,-4,-0.74,-0.88,Matches
Bartłomiej Pawłowski,pl POL,"MF,FW",32,19,480,25,15.7,5.3,5,66,0,14,11,15,1.37,7,11,-4,-0.75,-0.89,Matches
Peter Therkildsen,dk DEN,DF,27,8,430,54,14.1,4.8,5,78,2,3,14,3,1.63,9,8,+1,+0.21,+0.24,Matches
Rafał Gikiewicz,pl POL,GK,37,2,180,90,5.9,2.0,2,90,2,0,,5,1.50,3,3,0,0.00,0.00,Matches
Marek Hanousek,cz CZE,MF,33,9,100,11,3.3,1.1,1,13,0,8,11,9,1.89,3,5,-2,-1.80,-1.86,Matches
Pape Ba,sn SEN,FW,28,4,72,18,2.4,0.8,1,45,0,3,9,7,1.50,1,1,0,0.00,0.00,Matches
,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Tonio Teklić,hr CRO,MF,25,8,127,16,4.2,1.4,0,,0,8,16,9,0.50,0,4,-4,-2.83,-2.96,Matches
Antoni Klukowski,ca CAN,FW,18,7,51,7,1.7,0.6,0,,0,7,7,4,0.86,0,2,-2,-3.53,-3.59,Matches
Kamil Cybulski,pl POL,MF,19,2,22,11,0.7,0.2,0,,0,2,11,5,0.00,0,2,-2,-8.18,-8.24,Matches
Jan Krzywański,pl POL,GK,22,0,,,,,0,,0,0,,5,,,,,,,Matches
Leon Madej,pl POL,MF,19,0,,,,,0,,0,0,,5,,,,,,,Matches
Kuba Nawrocki,pl POL,MF,18,0,,,,,0,,0,0,,1,,,,,,,Matches
Polydefkis Volanakis,gr GRE,DF,22,0,,,,,0,,0,0,,12,,,,,,,Matches
Squad Total,,,25.4,34,3060,90,100,34.0,374,83,221,150,17,201,1.24,41,41,0,0.00,,
Opponent Total,,,26.8,34,3060,90,100,34.0,374,83,227,145,21,214,1.59,41,41,0,0.00,,
